x, y, magnet_x, magnet_y, magnet_z
13.9, 8.0, -32.7221755034, -4.24082676174, -45.6391912752
14.4, 8.0, -30.1202753356, -0.483073847047, -46.1226686242
14.9, 8.0, -26.4976906198, 2.90852950084, -46.6128458961
15.4, 8.0, -22.218479698, 4.92367572148, -45.5162758389
15.9, 8.0, -18.0240807047, 7.67537270134, -45.4854041946
16.4, 8.0, -13.9370087248, 10.6454011745, -47.3257691275
16.9, 8.0, -10.7600028908, 11.1069143866, -50.7269517647
17.4, 8.0, -8.07164257143, 10.7592973445, -53.6711379832
17.9, 8.0, -8.43162236577, 8.03243105705, -55.0839260067
18.4, 8.0, -10.2051525503, 4.29952494966, -56.8690682886
18.9, 8.0, -10.4714392593, 4.64615478114, -57.3794569024
19.4, 8.0, -9.61346662752, 1.36566942315, -58.4767216443
19.9, 8.0, -7.3172984396, 3.87673597315, -61.0491785235
20.4, 8.0, -4.93622567114, 8.4033788255, -68.318552349
20.9, 8.0, -2.83857787752, 4.64606067114, -71.9769171141
21.4, 8.0, -6.55890241259, -0.116588308811, -72.624088986
21.9, 8.0, -9.69916179832, -4.26946784874, -71.2953423529
22.4, 8.0, -13.1005600671, -7.11058290268, -68.4052115772
22.9, 8.0, -14.770658794, -11.7550646734, -64.2225500838
23.4, 8.0, -18.6053425461, -11.6702837856, -59.9150561139
23.9, 8.0, -20.0741228188, -10.4086967785, -57.3202332215
24.4, 8.0, -18.3375058725, -10.9555160403, -55.7991904362
24.9, 8.0, -16.4574114286, -9.91840351261, -52.9917611765
25.4, 8.0, -13.9063038591, -9.18354258389, -47.8705560403
25.9, 8.0, -14.5371568792, -5.51361766779, -43.580291443
26.4, 8.0, -15.8580875839, -1.42834816007, -40.3110540268
26.9, 8.0, -18.5441691275, 3.34141610738, -38.5290447987
27.4, 8.0, -22.1251018456, 9.95195159396, -37.523711745
27.9, 8.0, -24.9942887584, 15.0636444631, -37.6523857383
28.4, 8.0, -27.2374885906, 15.8409520134, -38.5413347315
28.9, 8.0, -30.8096867227, 12.647421395, -39.5801231933
29.4, 8.0, -34.4434412752, 9.0087607047, -41.1210872483
29.9, 8.0, -38.1654089076, 7.9076607563, -43.1585836975
30.4, 8.0, -38.8678727731, -2.06354492437, -41.9616183193
30.9, 8.0, -38.8570825503, -1.9875342651, -40.0713365772
31.4, 8.0, -36.9070546064, -7.46451288107, -36.3694150754
31.9, 8.0, -35.8529257956, -8.55414314908, -33.9396117253
32.4, 8.0, -33.7410534454, -10.4282726218, -33.4515020168
32.9, 8.0, -30.3214661074, -11.3013147819, -32.4407864094
33.4, 8.0, -27.279389094, -10.1026863423, -32.0064026846
33.9, 8.0, -24.8536357383, -2.64039263591, -31.7289088926
34.4, 8.0, -21.6424815745, 3.88503073702, -34.4305819095
34.9, 8.0, -19.9242510067, 10.6584031879, -41.2297392617
35.4, 8.0, -20.1799107563, 13.4641836975, -48.0639114286
35.9, 8.0, -22.2113310403, 13.9585682886, -52.6951328859
36.4, 8.0, -27.0477708054, 8.63874785235, -53.0718724832
36.9, 8.0, -33.7831862944, 2.38067032995, -49.0428582064
37.4, 8.0, -37.2849223154, 2.82491861577, -45.7636761745
37.9, 8.0, -37.5061964765, 1.3751780844, -47.388066443
38.4, 8.0, -34.4118427852, 0.0712043807215, -49.6206055369
38.9, 8.0, -28.7121568792, -3.33260404362, -50.7537817114
39.4, 8.0, -21.9925647651, -1.91704661896, -52.7794387584
39.9, 8.0, -14.1903328859, -1.44816670101, -57.1651276846
40.4, 8.0, -5.31485112416, -3.24076191275, -63.6224994966
11.4, 7.4, -46.1081326531, -20.6405612245, -34.3683061224
11.9, 7.4, -42.2782428571, -21.3359346939, -44.1858102041
12.4, 7.4, -39.11015, -21.4641291667, -46.8256854167
12.9, 7.4, -35.8312142857, -19.4745653061, -44.6223428571
13.4, 7.4, -33.7570489796, -12.9494755102, -40.3918795918
13.9, 7.4, -31.2384604167, -5.367215, -39.1739791667
14.4, 7.4, -28.8789458333, 1.23866479167, -42.4686770833
14.9, 7.4, -26.3458291667, 2.9174804375, -45.7954666667
15.4, 7.4, -23.06143125, 5.76601041667, -48.48433125
15.9, 7.4, -21.3376708333, 8.34430145833, -52.710125
16.4, 7.4, -19.1653854167, 11.28345, -58.95191875
16.9, 7.4, -17.2369244898, 14.3850510204, -64.4897836735
17.4, 7.4, -18.1169795918, 6.19285795918, -67.5899040816
17.9, 7.4, -17.6134387755, 1.17455290612, -67.5941653061
18.4, 7.4, -18.9662395833, -1.95840235417, -63.5859479167
18.9, 7.4, -18.1257541667, -2.64444458333, -61.8030833333
